Rank,MmrEstimate,PlayerId,Win,Lose,Winrate
65,3686.0,19813,3068,3024,0.5036112934996717
55,3565.0,24937,1102,1084,0.5041171088746569
80,5294.0,26952,3932,3792,0.509062661833247
65,4636.0,30208,3318,3204,0.5087396504139834
75,4014.0,40380,4830,4551,0.5148704828909498
80,4096.0,42072,2020,2083,0.4923226907141116
75,4617.0,43407,5186,4834,0.5175648702594811
32,2779.0,49034,983,1015,0.491991991991992
65,3949.0,55035,4123,3871,0.5157618213660246
63,4326.0,58008,1192,890,0.5725264169068204
44,3540.0,59065,5510,5293,0.5100435064333981
63,3500.0,59889,1428,1360,0.5121951219512195
63,4311.0,62909,4084,3554,0.5346949463210264
75,4567.0,63849,4131,4018,0.506933366057185
80,5249.0,65070,6310,6038,0.5110139293812763
52,3270.0,71818,2429,2452,0.4976439254251178
80,4756.0,74079,1278,1001,0.5607722685388328
80,5023.0,78071,426,321,0.570281124497992
80,6711.0,88470,5537,5090,0.5210313352780653
53,3319.0,88717,2883,2814,0.5060558188520273
80,5072.0,88906,2907,2284,0.5600077056443845
80,4332.0,89330,1077,789,0.5771704180064309
80,4422.0,93015,1186,912,0.5653002859866539
71,3907.0,97873,3310,3148,0.5125425828429855
80,4915.0,104388,7090,6948,0.5050577005271406
21,2533.0,105542,792,783,0.5028571428571429
43,3262.0,116541,3517,3530,0.4990776216829857
72,4318.0,116553,5183,5093,0.5043791358505255
65,3642.0,130403,1690,1849,0.4775360271263069
72,3985.0,145518,2580,2308,0.527823240589198
,5098.0,146520,4557,2612,0.6356535081601339
65,4285.0,149868,5711,5306,0.5183806843968413
44,3089.0,150613,2947,2763,0.5161120840630473
53,2578.0,157820,1498,1331,0.5295157299399081
43,3172.0,159729,3249,3251,0.49984615384615383
33,2978.0,162340,1157,1303,0.47032520325203253
53,4125.0,163705,4578,4308,0.5151924375422012
75,4187.0,166666,2270,1872,0.5480444229840656
75,3695.0,177183,6784,4114,0.6224995412002202
64,3910.0,193251,3948,3888,0.5038284839203675
14,1580.0,196615,1382,1440,0.4897236002834869
71,4454.0,200512,4892,4737,0.5080486031779001
80,4966.0,204039,3774,3540,0.5159967186218212
